Name,chr,pos,Relation_to_Island,UCSC_RefGene_Name,UCSC_RefGene_Group,hg
cg03905758,chr4,174451468,Island,HAND2;NBLA00301,TSS200;TSS200,hg19
cg22497313,chr3,45838198,Island,SLC6A20;SLC6A20,TSS200;TSS200,hg19
cg13078140,chr4,20255082,Island,SLIT2,TSS200,hg19
cg14276592,chr10,95653711,Island,TMEM20;TMEM20,TSS200;TSS200,hg19
cg16443866,chr5,172756558,Island,STC2,TSS200,hg19
cg09302448,chr16,67562672,Island,FAM65A,TSS200,hg19
cg12855213,chr10,22605192,Island,COMMD3,TSS200,hg19
cg12145550,chr20,44600942,Island,ZNF335,TSS200,hg19
cg13549897,chr1,70820344,Island,HHLA3;ANKRD13C;HHLA3;HHLA3;HHLA3;ANKRD13C,TSS200;5'UTR;TSS200;TSS200;TSS200;1stExon,hg19
cg15773090,chr12,42632129,Island,YAF2,TSS200,hg19
cg26394244,chr14,52536066,Island,NID2,TSS200,hg19
cg15070718,chr15,96876486,Island,NR2F2;NR2F2;NR2F2;NR2F2;MIR1469,TSS200;Body;Body;5'UTR;TSS200,hg19
cg13723693,chr17,80656731,Island,RAB40B,TSS200,hg19
cg20387815,chr2,25391666,Island,POMC;POMC,TSS200;TSS200,hg19
cg10815543,chr8,63998731,Island,TTPA,TSS200,hg19
cg26661034,chr1,18957335,Island,PAX7;PAX7;PAX7,TSS200;TSS200;TSS200,hg19
cg10761845,chr19,3985548,Island,EEF2,TSS200,hg19
cg03141620,chr2,172950096,Island,DLX1;DLX1,TSS200;TSS200,hg19
cg16715162,chr6,150463990,Island,PPP1R14C,TSS200,hg19
cg13070215,chr8,133493171,Island,KCNQ3,TSS200,hg19
cg02095752,chr6,150262961,Island,ULBP2,TSS200,hg19
cg14769207,chr21,38071807,Island,SIM2;SIM2,TSS200;TSS200,hg19
cg05237932,chr2,87035710,N_Shore,CD8A,TSS200,hg19
cg01751470,chr2,85980788,Island,ATOH8,TSS200,hg19
cg18424634,chr3,147127097,Island,ZIC1,TSS200,hg19
cg11898212,chr8,356726,Island,FBXO25;FBXO25;FBXO25,TSS200;TSS200;TSS200,hg19
cg25998402,chr5,174151498,Island,MSX2,TSS200,hg19
cg27079232,chr13,27335082,Island,GPR12,TSS200,hg19
cg09601704,chr17,8027427,N_Shore,HES7;HES7,TSS200;TSS200,hg19
cg11302943,chr10,99790596,Island,CRTAC1,TSS200,hg19
cg21063722,chr6,100911709,N_Shore,SIM1,TSS200,hg19
cg01396567,chr1,85514226,Island,MCOLN3,TSS200,hg19
cg08231251,chr1,27114322,Island,PIGV,TSS200,hg19
cg24524352,chr2,95522876,Island,ANKRD20B,TSS200,hg19
cg01227537,chr3,147127012,Island,ZIC1,TSS200,hg19
cg10853637,chr6,1312511,Island,FOXQ1,TSS200,hg19
cg15319255,chr6,29910269,Island,HLA-A,TSS200,hg19
cg27665171,chr15,38857079,Island,RASGRP1;RASGRP1,TSS200;TSS200,hg19
cg06785746,chr17,44896166,Island,WNT3,TSS200,hg19
cg23179456,chr14,24803873,Island,ADCY4,TSS200,hg19
cg08843809,chr17,6679484,Island,FBXO39,TSS200,hg19
cg01111397,chr2,172967676,Island,DLX2,TSS200,hg19
cg11564981,chr6,6007670,Island,NRN1,TSS200,hg19
cg11580493,chr15,96873951,Island,NR2F2;NR2F2,TSS200;Body,hg19
cg08014994,chr17,48712194,Island,ABCC3;ABCC3,TSS200;TSS200,hg19
cg12600174,chr7,27205230,Island,HOXA9,TSS200,hg19
cg16040504,chr1,40157202,Island,HPCAL4,TSS200,hg19
cg07259710,chr16,2021951,Island,TBL3,TSS200,hg19
cg20675505,chr8,72756812,S_Shore,MSC,TSS200,hg19
cg26779378,chr7,107300957,N_Shore,SLC26A4;LOC286002,TSS200;Body,hg19
cg13814485,chr10,8095500,Island,FLJ45983;GATA3;GATA3;FLJ45983,TSS200;TSS1500;TSS1500;TSS200,hg19
cg04210284,chr5,1445561,Island,SLC6A3,TSS200,hg19
cg11697159,chr14,89259164,Island,EML5,TSS200,hg19
cg06904287,chr11,33796187,Island,FBXO3;FBXO3,TSS200;TSS200,hg19
cg22274395,chr4,141490067,Island,UCP1,TSS200,hg19
cg13409248,chr3,40428643,N_Shore,ENTPD3,TSS200,hg19
cg03111498,chr20,25062860,Island,VSX1;VSX1,TSS200;TSS200,hg19
cg18541904,chr15,52043684,Island,TMOD2;TMOD2;LYSMD2,TSS200;TSS200;TSS200,hg19
cg05298677,chr6,36355542,Island,ETV7,TSS200,hg19
cg08054078,chr16,57318744,Island,PLLP,TSS200,hg19
cg14358879,chr14,70655920,Island,SLC8A3;SLC8A3;SLC8A3;SLC8A3,TSS200;TSS200;TSS200;TSS200,hg19
cg26372792,chr6,30585473,Island,MRPS18B;PPP1R10,TSS200;TSS1500,hg19
cg00157796,chr6,159590231,Island,FNDC1,TSS200,hg19
cg03689120,chr13,20767179,Island,GJB2,TSS200,hg19
cg22505891,chr8,22014441,Island,LGI3,TSS200,hg19
cg03866835,chr16,67562656,Island,FAM65A,TSS200,hg19
cg18213472,chr6,84419189,Island,SNAP91;SNAP91,TSS200;TSS200,hg19
cg16702774,chr17,77771036,Island,CBX8,TSS200,hg19
cg23400002,chr11,75917724,Island,WNT11,TSS200,hg19
cg02093112,chr17,6679495,Island,FBXO39,TSS200,hg19
cg25382848,chr3,107809996,Island,CD47;CD47;CD47,TSS200;TSS200;TSS200,hg19
cg13229245,chr11,125366238,Island,FEZ1;FEZ1,TSS200;TSS200,hg19
cg07437066,chr10,105253564,Island,NEURL,TSS200,hg19
cg12243375,chr11,106889329,Island,GUCY1A2,TSS200,hg19
cg08211722,chr22,50708924,Island,MAPK11,TSS200,hg19
cg23163531,chr15,28344524,S_Shore,OCA2,TSS200,hg19
cg18965377,chr6,91006634,Island,BACH2;BACH2,TSS200;TSS200,hg19
cg01867395,chr11,31839628,Island,PAX6,TSS200,hg19
cg15237819,chr2,19558375,Island,OSR1,TSS200,hg19
cg11190156,chr6,26104118,N_Shore,HIST1H4C,TSS200,hg19
cg20905516,chr11,106889364,Island,GUCY1A2,TSS200,hg19
cg05100596,chr16,57318616,Island,PLLP,TSS200,hg19
cg04439623,chr1,207627601,Island,CR2;CR2,TSS200;TSS200,hg19
cg04868167,chr4,52917539,Island,SPATA18,TSS200,hg19
cg12936746,chr4,145566975,Island,HHIP,TSS200,hg19
cg20097440,chr2,72374969,Island,CYP26B1,TSS200,hg19
cg04946603,chr15,41221376,Island,DLL4,TSS200,hg19
cg02771661,chr12,49372162,Island,WNT1,TSS200,hg19
cg13534424,chr7,44365292,Island,CAMK2B;CAMK2B;CAMK2B;CAMK2B;CAMK2B;CAMK2B;CAMK2B;CAMK2B,TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200;TSS200,hg19
cg08712932,chr6,133562463,Island,EYA4;EYA4;EYA4,TSS200;TSS200;TSS200,hg19
cg20131194,chr11,31832931,Island,PAX6;PAX6;PAX6,TSS200;5'UTR;TSS200,hg19
cg03529432,chr7,27187502,Island,HOXA6,TSS200,hg19
cg08278487,chr13,79177773,Island,POU4F1,TSS200,hg19
cg13566610,chr7,103630083,Island,RELN;RELN,TSS200;TSS200,hg19
cg03777804,chr16,57318709,Island,PLLP,TSS200,hg19
cg25937149,chr5,175788949,Island,KIAA1191;KIAA1191;KIAA1191,TSS200;TSS200;TSS200,hg19
cg13956095,chr17,81037419,Island,METRNL,TSS200,hg19
cg05375668,chr15,63796746,Island,USP3,TSS200,hg19
cg10643578,chr6,91006647,Island,BACH2;BACH2,TSS200;TSS200,hg19
cg17823892,chr15,85525171,Island,PDE8A;PDE8A,TSS200;TSS200,hg19
cg10420952,chr7,19157420,Island,TWIST1,TSS200,hg19
cg18794577,chr9,104501030,Island,GRIN3A,TSS200,hg19
cg10712173,chr4,8271414,Island,HTRA3,TSS200,hg19
cg27482031,chr12,54402697,Island,HOXC8,TSS200,hg19
cg07853743,chr16,2802190,Island,SRRM2;LOC100128788,TSS200;Body,hg19
cg22609510,chr6,26285835,Island,HIST1H4H,TSS200,hg19
cg26110883,chr14,105953088,Island,CRIP1,TSS200,hg19
cg15186181,chr8,55370434,Island,SOX17,TSS200,hg19
cg00702577,chr3,72897627,Island,SHQ1,TSS200,hg19
cg22831607,chr10,99531797,Island,SFRP5,TSS200,hg19
cg03303162,chr19,12946300,S_Shore,RTBDN,TSS200,hg19
cg23363202,chr2,95522896,Island,ANKRD20B,TSS200,hg19
cg13570972,chr11,31839632,Island,PAX6,TSS200,hg19
cg06073449,chr6,166582310,Island,T,TSS200,hg19
cg16201674,chr13,95364586,Island,SOX21,TSS200,hg19
cg10749912,chr10,99531934,Island,SFRP5,TSS200,hg19
cg03712541,chr17,6947294,Island,SLC16A11,TSS200,hg19
cg20617676,chr7,123389167,Island,WASL,TSS200,hg19
cg10070578,chr11,118928079,Island,HYOU1;HYOU1,TSS200;TSS200,hg19
cg10008970,chr10,22605179,Island,COMMD3,TSS200,hg19
cg22727761,chr1,24286270,Island,PNRC2,TSS200,hg19
cg25563189,chr12,89746328,Island,DUSP6;DUSP6,TSS200;TSS200,hg19
cg21649051,chr1,85514340,Island,MCOLN3,TSS200,hg19
cg19570244,chr11,32457158,Island,WT1;WIT1;WT1;WT1;WT1,TSS200;TSS200;TSS200;TSS200;TSS200,hg19
cg04616222,chr10,99078965,Island,FRAT1,TSS200,hg19
cg16897634,chr6,91006631,Island,BACH2;BACH2,TSS200;TSS200,hg19
cg11722699,chr18,28622813,Island,DSC3;DSC3,TSS200;TSS200,hg19
cg01108106,chr7,93204092,Island,CALCR;CALCR,TSS200;TSS200,hg19
cg20018912,chr14,36003211,Island,INSM2,TSS200,hg19
cg23151303,chr2,27486031,Island,SLC30A3,TSS200,hg19
cg09936645,chr1,207627581,Island,CR2;CR2,TSS200;TSS200,hg19
cg16531271,chr2,219824324,Island,CDK5R2,TSS200,hg19
cg13187788,chr17,48072633,Island,DLX3,TSS200,hg19
cg24052148,chr19,4066934,Island,ZBTB7A,TSS200,hg19
cg19248656,chr17,48712198,Island,ABCC3;ABCC3,TSS200;TSS200,hg19
cg15847198,chr11,106889318,Island,GUCY1A2,TSS200,hg19
cg18849840,chr6,132272545,Island,CTGF,TSS200,hg19
cg15648026,chr11,107461798,Island,ELMOD1;ELMOD1;LOC643923,TSS200;TSS200;TSS1500,hg19
cg09106624,chr12,54332501,N_Shore,HOXC13,TSS200,hg19
cg06804921,chr11,20620854,N_Shore,SLC6A5,TSS200,hg19
cg22782268,chr13,92050791,N_Shore,GPC5,TSS200,hg19
cg05256447,chr13,22245171,Island,FGF9,TSS200,hg19
cg17431860,chr11,118966319,Island,H2AFX,TSS200,hg19
cg23405575,chr3,11034281,N_Shore,SLC6A1,TSS200,hg19
cg24058604,chr7,27142437,N_Shore,HOXA2,TSS200,hg19
cg25613251,chr1,59249811,Island,JUN,TSS200,hg19
cg25272554,chr2,222437075,Island,EPHA4,TSS200,hg19
cg05861971,chr2,101436479,Island,NPAS2,TSS200,hg19
cg23649004,chr22,38851332,S_Shore,KCNJ4,TSS200,hg19
cg12930553,chr2,85980742,Island,ATOH8,TSS200,hg19
cg03994053,chr1,10057168,Island,RBP7,TSS200,hg19
cg08721076,chr2,172967670,Island,DLX2,TSS200,hg19
cg26820911,chr4,83720044,Island,SCD5;SCD5,TSS200;TSS200,hg19
cg04208787,chr11,118966294,Island,H2AFX,TSS200,hg19
cg15272362,chr20,25062823,Island,VSX1;VSX1,TSS200;TSS200,hg19
cg04330371,chr15,96875656,Island,NR2F2;NR2F2;NR2F2;MIR1469;NR2F2,TSS200;1stExon;Body;TSS1500;TSS1500,hg19
cg07565236,chr16,88869998,Island,CDT1,TSS200,hg19
cg03796952,chr16,2802241,Island,SRRM2;LOC100128788,TSS200;Body,hg19
cg26105156,chr4,81951953,Island,BMP3,TSS200,hg19
cg02629138,chr11,112831915,N_Shore,NCAM1;NCAM1;NCAM1,TSS200;TSS200;TSS200,hg19
cg08170140,chr22,31090747,Island,OSBP2,TSS200,hg19
cg16088277,chr10,7708986,OpenSea,ITIH5;ITIH5,TSS200;TSS200,hg19
cg00114008,chr1,27114423,Island,PIGV,TSS200,hg19
cg20941820,chr15,100882334,Island,ADAMTS17,TSS200,hg19
cg06897927,chr10,124895500,Island,HMX3,TSS200,hg19
cg00735239,chr22,50708947,Island,MAPK11,TSS200,hg19
cg20254483,chr10,72972204,Island,UNC5B,TSS200,hg19
cg15328582,chr1,168195103,Island,SFT2D2,TSS200,hg19
cg26554567,chr19,13617382,S_Shore,CACNA1A;CACNA1A,TSS200;TSS200,hg19
cg25397597,chr20,23030442,Island,THBD,TSS200,hg19
cg03850426,chr13,53422860,Island,PCDH8;PCDH8,TSS200;TSS200,hg19
cg08837462,chr7,90893760,Island,FZD1,TSS200,hg19
cg00389463,chr19,10397620,Island,ICAM4;ICAM4;ICAM4,TSS200;TSS200;TSS200,hg19
cg07242563,chr16,79634675,Island,MAF;MAF,TSS200;TSS200,hg19
cg12180703,chr20,37353037,Island,SLC32A1,TSS200,hg19
cg04996523,chr1,60392461,Island,CYP2J2,TSS200,hg19
cg13579562,chr15,41221543,Island,DLL4,TSS200,hg19
cg03278965,chr3,141595308,Island,ATP1B3,TSS200,hg19
cg15597821,chr15,45927126,Island,SQRDL,TSS200,hg19
cg14028652,chr7,128050115,Island,IMPDH1;IMPDH1;IMPDH1;IMPDH1,TSS200;TSS200;TSS200;TSS200,hg19
cg22906273,chr20,21686253,Island,PAX1,TSS200,hg19
cg08587797,chr10,102988852,Island,LBX1;FLJ41350,TSS200;TSS1500,hg19
cg19437341,chr19,46272643,Island,SIX5,TSS200,hg19
cg18129621,chr22,29875991,Island,NEFH,TSS200,hg19
cg15114105,chr19,49944820,N_Shore,SLC17A7,TSS200,hg19
cg00629370,chr12,28123081,Island,PTHLH;PTHLH;PTHLH;PTHLH,TSS200;5'UTR;TSS200;5'UTR,hg19
cg19844581,chr11,119020147,Island,ABCG4;ABCG4,TSS200;5'UTR,hg19
cg01495122,chr8,41167087,Island,SFRP1,TSS200,hg19
cg16943083,chr18,500817,S_Shore,COLEC12,TSS200,hg19
cg18871020,chr22,38851345,S_Shore,KCNJ4,TSS200,hg19
cg03905905,chr2,63277850,Island,OTX1,TSS200,hg19
cg03636215,chr1,38512601,Island,POU3F1,TSS200,hg19
cg15724773,chr10,103986124,Island,ELOVL3,TSS200,hg19
cg25306087,chr17,72920362,Island,OTOP2;USH1G,TSS200;TSS1500,hg19
cg07158797,chr1,215740701,Island,KCTD3,TSS200,hg19
cg18646207,chr10,118897836,Island,VAX1;VAX1,TSS200;TSS200,hg19
cg20482521,chr10,106400667,Island,SORCS3,TSS200,hg19
cg15893070,chr2,190445551,Island,SLC40A1,TSS200,hg19
cg05500840,chr2,176972068,Island,HOXD11,TSS200,hg19
cg14651305,chr6,31325003,Island,HLA-B,TSS200,hg19
cg06240450,chr3,125899547,Island,ALDH1L1,TSS200,hg19
cg16204135,chr19,19626951,Island,NDUFA13;TSSK6,TSS200;TSS1500,hg19
cg00780805,chr1,3566701,Island,WDR8,TSS200,hg19
cg10524152,chr10,112836785,Island,ADRA2A,TSS200,hg19
cg19414071,chr1,24286187,Island,PNRC2,TSS200,hg19
cg05099387,chr2,177053292,Island,HOXD1,TSS200,hg19
cg09896445,chr13,92050789,N_Shore,GPC5,TSS200,hg19
cg21039778,chr2,20866231,Island,GDF7,TSS200,hg19
cg15367106,chr12,96184558,Island,NTN4,TSS200,hg19
cg22653976,chr11,17741070,Island,MYOD1,TSS200,hg19
cg17178336,chr2,219925246,Island,IHH,TSS200,hg19
cg16472965,chr2,74881210,N_Shore,SEMA4F,TSS200,hg19
cg03004714,chr18,59560365,N_Shore,RNF152,TSS200,hg19
cg14621053,chr10,128077315,Island,ADAM12;ADAM12,TSS200;TSS200,hg19
cg07179816,chr8,49647907,Island,EFCAB1;EFCAB1;EFCAB1,TSS200;TSS200;TSS200,hg19
cg16104915,chr7,27205217,Island,HOXA9,TSS200,hg19
cg02277487,chr2,70781256,Island,TGFA;TGFA,TSS200;TSS200,hg19
cg10505324,chr17,46692351,S_Shore,HOXB8,TSS200,hg19
cg07316263,chr16,67193999,Island,TRADD;FBXL8,TSS200;5'UTR,hg19
cg16641818,chr10,45869619,Island,ALOX5,TSS200,hg19
cg24319902,chr8,41166990,Island,SFRP1,TSS200,hg19
cg24791601,chr10,102820868,Island,KAZALD1,TSS200,hg19
cg17567560,chr10,105036863,Island,INA,TSS200,hg19
cg00212988,chr10,95326311,Island,GPR120,TSS200,hg19
cg02028540,chr16,67193883,Island,TRADD;FBXL8,TSS200;TSS200,hg19
cg11021744,chr3,11034279,N_Shore,SLC6A1,TSS200,hg19
cg15325978,chr11,130318706,Island,ADAMTS15,TSS200,hg19
cg19054524,chr20,21686273,Island,PAX1,TSS200,hg19
cg07193766,chr11,32457127,Island,WT1;WIT1;WT1;WT1;WT1,TSS200;TSS200;TSS200;TSS200;TSS200,hg19
cg22714094,chr4,164253820,S_Shore,NPY1R,TSS200,hg19
cg22062659,chr8,70747431,Island,SLCO5A1,TSS200,hg19
cg23449974,chr10,22605194,Island,COMMD3,TSS200,hg19
cg01783070,chr20,21686293,Island,PAX1,TSS200,hg19
cg17130063,chr1,215256448,Island,KCNK2;KCNK2;KCNK2,TSS200;TSS200;Body,hg19
cg00107016,chr17,39890994,Island,HAP1;HAP1;HAP1,TSS200;TSS200;TSS200,hg19
cg23979458,chr17,80291982,Island,SECTM1,TSS200,hg19
cg08957652,chr2,219925251,Island,IHH,TSS200,hg19
cg11942956,chr6,133562470,Island,EYA4;EYA4;EYA4,TSS200;TSS200;TSS200,hg19
cg12412079,chr3,68981877,Island,FAM19A4;FAM19A4,TSS200;TSS200,hg19
cg25156443,chr10,99531929,Island,SFRP5,TSS200,hg19
cg20639400,chr19,55866246,Island,COX6B2,TSS200,hg19
cg27591117,chr20,8113191,Island,PLCB1;PLCB1,TSS200;TSS200,hg19
cg25662463,chr10,118897857,Island,VAX1;VAX1,TSS200;TSS200,hg19
cg10529075,chr2,101436412,Island,NPAS2,TSS200,hg19
cg08448701,chr20,21686282,Island,PAX1,TSS200,hg19
cg23497704,chr12,113910034,Island,LHX5,TSS200,hg19
cg07329135,chr8,121824488,Island,SNTB1,TSS200,hg19
cg03410961,chr6,391680,Island,IRF4,TSS200,hg19
cg11979589,chr4,110223967,Island,COL25A1;COL25A1,TSS200;TSS200,hg19
cg07557260,chr8,132052870,Island,ADCY8,TSS200,hg19
cg03486157,chr8,29208275,Island,DUSP4,TSS200,hg19
cg25587535,chr5,153857846,Island,HAND1,TSS200,hg19
cg19646445,chr1,215740697,Island,KCTD3,TSS200,hg19
cg14250833,chr6,10882240,N_Shore,GCM2,TSS200,hg19
cg14471975,chr7,73134079,Island,STX1A;STX1A,TSS200;TSS200,hg19
cg03052869,chr10,88126299,Island,GRID1,TSS200,hg19
cg20945566,chr17,46800020,N_Shore,PRAC;C17orf93,TSS200;TSS1500,hg19
cg14181169,chr14,36003074,Island,INSM2,TSS200,hg19
cg02694427,chr2,176964512,Island,HOXD12,TSS200,hg19
cg15440363,chr3,32148023,Island,GPD1L,TSS200,hg19
cg11697226,chr18,59992385,Island,TNFRSF11A,TSS200,hg19
cg11510839,chr15,28344488,Island,OCA2,TSS200,hg19
cg01211349,chr15,73661769,Island,HCN4,TSS200,hg19
cg05875032,chr22,18593364,Island,TUBA8,TSS200,hg19
cg07140158,chr6,26204796,Island,HIST1H4E,TSS200,hg19
cg10285466,chr14,38725710,S_Shore,CLEC14A,TSS200,hg19
cg20265733,chr20,61051032,Island,GATA5,TSS200,hg19
cg15554007,chr22,50708936,Island,MAPK11,TSS200,hg19
cg08346159,chr4,164265012,Island,NPY5R,TSS200,hg19
cg05470554,chr7,120969079,N_Shore,WNT16;WNT16,TSS200;Body,hg19
cg13259811,chr8,22550831,Island,EGR3,TSS200,hg19
cg22803724,chr1,61542917,S_Shore,NFIA,TSS200,hg19
cg12587386,chr11,119020099,Island,ABCG4;ABCG4,TSS200;5'UTR,hg19
cg19430577,chr7,87936225,OpenSea,STEAP4,TSS200,hg19
cg19712603,chr13,53422777,Island,PCDH8;PCDH8,TSS200;TSS200,hg19
cg08327269,chr2,182545555,N_Shelf,NEUROD1,TSS200,hg19
cg01096398,chr6,1312475,Island,FOXQ1,TSS200,hg19
cg03207439,chr20,9495199,N_Shore,C20orf103,TSS200,hg19
cg26047950,chr10,125425692,Island,GPR26,TSS200,hg19
cg08383338,chr6,46703225,Island,PLA2G7;PLA2G7,TSS200;5'UTR,hg19
cg20631014,chr6,84419242,Island,SNAP91;SNAP91,TSS200;TSS200,hg19
cg06998137,chr14,23451983,Island,JUB,TSS200,hg19
cg18946478,chr2,20866414,Island,GDF7,TSS200,hg19
cg23543263,chr13,22245177,Island,FGF9,TSS200,hg19
cg02501984,chr12,133263946,Island,POLE;PXMP2,TSS200;TSS1500,hg19
cg04235519,chr10,102505365,Island,PAX2;PAX2;PAX2;PAX2;PAX2,TSS200;TSS200;TSS200;TSS200;TSS200,hg19
cg01789478,chr2,182545485,N_Shelf,NEUROD1,TSS200,hg19
cg17826324,chr1,33546651,Island,ADC,TSS200,hg19
cg06755955,chr10,35930436,Island,FZD8,TSS200,hg19
cg03246824,chr11,118966313,Island,H2AFX,TSS200,hg19
cg25918303,chr11,106889334,Island,GUCY1A2,TSS200,hg19
cg21205071,chr1,161993677,Island,OLFML2B,TSS200,hg19
cg17054969,chr12,48398374,Island,COL2A1;COL2A1,TSS200;TSS200,hg19
cg03501777,chr10,45869613,Island,ALOX5,TSS200,hg19
cg11961683,chr8,121824433,Island,SNTB1,TSS200,hg19
cg26899490,chr1,27114329,Island,PIGV,TSS200,hg19
cg03128635,chr2,85980756,Island,ATOH8,TSS200,hg19
cg15794252,chr8,121824419,Island,SNTB1,TSS200,hg19
cg17820890,chr10,99531790,Island,SFRP5,TSS200,hg19
cg07621104,chr11,117668040,Island,DSCAML1,TSS200,hg19
cg09130288,chr17,15165922,Island,PMP22;PMP22,TSS200;5'UTR,hg19
cg26135012,chr11,110583599,Island,ARHGAP20,TSS200,hg19
cg19231244,chr19,4066983,Island,ZBTB7A,TSS200,hg19
cg04048259,chr20,57875346,Island,EDN3;EDN3;EDN3;EDN3,TSS200;TSS200;TSS200;TSS200,hg19
cg17535595,chr13,53422808,Island,PCDH8;PCDH8,TSS200;TSS200,hg19
cg26055420,chr1,118148456,Island,FAM46C,TSS200,hg19
cg01389445,chr4,155665106,Island,LRAT,TSS200,hg19
cg03292754,chr2,219925311,Island,IHH,TSS200,hg19
cg16554516,chr1,206680868,Island,RASSF5;RASSF5,TSS200;TSS200,hg19
cg17097923,chr17,6679541,Island,FBXO39,TSS200,hg19
cg05091519,chr11,31839552,Island,PAX6,TSS200,hg19
cg09500815,chr15,96876407,Island,NR2F2;NR2F2;NR2F2;NR2F2;MIR1469,TSS200;Body;Body;5'UTR;TSS200,hg19
cg03523077,chr13,20767208,Island,GJB2,TSS200,hg19
cg14710040,chr19,3985464,Island,EEF2,TSS200,hg19
cg26440355,chr15,52043657,Island,TMOD2;TMOD2;LYSMD2,TSS200;TSS200;TSS200,hg19
cg17772342,chr5,134871686,Island,NEUROG1,TSS200,hg19
cg13599411,chr19,2236372,Island,PLEKHJ1;SF3A2,TSS200;TSS1500,hg19
cg23042706,chr15,96875781,Island,NR2F2;NR2F2;NR2F2;MIR1469;NR2F2,TSS200;Body;Body;TSS1500;TSS1500,hg19
cg07926531,chr1,33546695,Island,ADC,TSS200,hg19
cg03045425,chr18,31803633,Island,NOL4,TSS200,hg19
cg10265570,chr19,12946297,S_Shore,RTBDN,TSS200,hg19
cg17576288,chr13,79177877,Island,POU4F1,TSS200,hg19
cg18011364,chr7,103630086,Island,RELN;RELN,TSS200;TSS200,hg19
cg08005774,chr1,18434106,Island,IGSF21,TSS200,hg19
cg23739994,chr11,94134756,Island,GPR83,TSS200,hg19
cg09012406,chr11,128761146,Island,KCNJ5,TSS200,hg19
cg17480760,chr8,86350889,Island,CA3,TSS200,hg19
cg10070969,chr6,27861007,N_Shore,HIST1H2AM;HIST1H2BO,TSS200;TSS200,hg19
cg18996663,chr14,55595768,Island,LGALS3,TSS200,hg19
cg00560482,chr10,124895474,Island,HMX3,TSS200,hg19
cg20510845,chr17,46688405,Island,HOXB7,TSS200,hg19
cg04925841,chr12,24715491,Island,SOX5,TSS200,hg19
cg24370755,chr3,134370046,Island,KY,TSS200,hg19
cg20787173,chr6,133562475,Island,EYA4;EYA4;EYA4,TSS200;TSS200;TSS200,hg19
cg07935012,chr18,49866407,N_Shore,DCC,TSS200,hg19
cg09249682,chr7,17338253,Island,AHR,TSS200,hg19
cg17632579,chr4,119274013,Island,PRSS12,TSS200,hg19
cg17183414,chr1,17446073,Island,PADI2,TSS200,hg19
cg03252536,chr17,35306063,Island,AATF,TSS200,hg19
cg26201815,chr18,9708098,Island,RAB31,TSS200,hg19
cg11389172,chr10,50818299,Island,SLC18A3;CHAT,TSS200;5'UTR,hg19
cg27413462,chr11,14993866,N_Shore,CALCA;CALCA;CALCA,TSS200;TSS200;TSS200,hg19
cg25902810,chr10,99078978,Island,FRAT1,TSS200,hg19
cg02213487,chr11,118928076,Island,HYOU1;HYOU1,TSS200;TSS200,hg19
cg11082362,chr14,36003181,Island,INSM2,TSS200,hg19
cg14288330,chr14,36003208,Island,INSM2,TSS200,hg19
cg15322430,chr1,40157251,Island,HPCAL4,TSS200,hg19
cg06329574,chr11,69634334,Island,FGF3,TSS200,hg19
cg12503257,chr17,8924773,Island,NTN1,TSS200,hg19
cg24154839,chr4,46995741,Island,GABRA4,TSS200,hg19
cg06782351,chr1,3566715,Island,WDR8,TSS200,hg19
cg17477445,chr12,64062526,Island,DPY19L2,TSS200,hg19
cg15434569,chr10,105253716,Island,NEURL,TSS200,hg19
cg15180867,chr20,591076,Island,TCF15,TSS200,hg19
cg12377139,chr10,22634218,Island,SPAG6;SPAG6,TSS200;TSS200,hg19
cg06008912,chr2,193059645,Island,TMEFF2,TSS200,hg19
cg02827714,chr6,31240045,Island,HLA-C,TSS200,hg19
cg17498296,chr10,124907540,Island,HMX2,TSS200,hg19
cg16458436,chr12,114846412,Island,TBX5;TBX5,TSS200;TSS200,hg19
cg14279842,chr14,50159788,Island,KLHDC1,TSS200,hg19
cg05436064,chr16,67197180,Island,HSF4;HSF4;FBXL8,TSS200;TSS200;Body,hg19
cg01370181,chr15,96874052,Island,NR2F2;NR2F2,TSS200;Body,hg19
cg08084692,chr6,143832933,Island,FUCA2,TSS200,hg19
cg06159435,chr11,118966351,Island,H2AFX,TSS200,hg19
cg21530045,chr6,150263035,Island,ULBP2,TSS200,hg19
cg02968429,chr15,96873954,Island,NR2F2;NR2F2,TSS200;Body,hg19
cg16970851,chr12,22487658,Island,ST8SIA1,TSS200,hg19
cg24928391,chr8,55370336,Island,SOX17,TSS200,hg19
cg17412886,chr5,50678913,Island,ISL1,TSS200,hg19
cg10569606,chr12,5019004,Island,KCNA1,TSS200,hg19
cg03140968,chr20,21686264,Island,PAX1,TSS200,hg19
cg18949300,chr6,167275778,Island,RPS6KA2,TSS200,hg19
cg12859211,chr11,124735105,Island,ROBO3,TSS200,hg19
cg14652031,chr11,110583590,Island,ARHGAP20,TSS200,hg19
cg08750890,chr4,151937039,Island,LRBA,TSS200,hg19
cg06000883,chr21,39288720,Island,KCNJ6,TSS200,hg19
cg13762060,chr9,841559,Island,DMRT1,TSS200,hg19
cg23489273,chr6,29910292,Island,HLA-A,TSS200,hg19
cg12235144,chr12,48398329,Island,COL2A1;COL2A1,TSS200;TSS200,hg19
cg09738592,chr11,130318703,Island,ADAMTS15,TSS200,hg19
