Name,chr,pos,Relation_to_Island,UCSC_RefGene_Name,UCSC_RefGene_Group,hg,clock,weight_clock
cg24922090,chr5,140751608,Island,PCDHGA4;PCDHGB3;PCDHGA1;PCDHGA5;PCDHGB1;PCDHGA3;PCDHGB3;PCDHGA2;PCDHGB2,Body;1stExon;Body;Body;Body;Body;1stExon;Body;Body,hg19,AGE,1
cg16646743,chr19,9608947,Island,ZNF560,5'UTR,hg19,AGE,1
cg16196348,chr2,24274446,S_Shore,FKBP1B;FKBP1B,Body;Body,hg19,AGE,-1
cg03602280,chr18,11148914,Island,FAM38B,TSS200,hg19,AGE,1
cg18669209,chr18,44777736,Island,,,hg19,AGE,1
cg06094615,chr10,50887578,Island,C10orf53;C10orf53,TSS200;TSS200,hg19,AGE,1
cg08398371,chr19,41814839,N_Shore,CCDC97,TSS1500,hg19,AGE,-1
cg11228052,chr12,103350170,Island,ASCL1,TSS1500,hg19,AGE,1
cg18420965,chr4,66535145,N_Shore,EPHA5;EPHA5,Body;Body,hg19,AGE,1
cg20093099,chr6,133562592,Island,EYA4;EYA4;EYA4;EYA4;EYA4;EYA4;EYA4;EYA4,TSS200;TSS200;1stExon;1stExon;1stExon;5'UTR;5'UTR;5'UTR,hg19,AGE,1
cg26813646,chr10,50817651,Island,SLC18A3;CHAT,TSS1500;5'UTR,hg19,AGE,1
cg04790487,chr16,3031471,S_Shore,PKMYT1;PKMYT1;PKMYT1;PKMYT1,TSS1500;TSS1500;TSS1500;TSS1500,hg19,AGE,1
cg15976297,chr22,46392229,OpenSea,,,hg19,AGE,-1
cg24346629,chr3,74663689,Island,,,hg19,AGE,1
cg26408914,chr2,176995076,Island,HOXD8;HOXD8;HOXD8;HOXD8;HOXD8,5'UTR;5'UTR;5'UTR;1stExon;1stExon,hg19,AGE,1
cg00721530,chr15,89951404,N_Shore,,,hg19,AGE,1
cg14186066,chr14,60976115,Island,SIX6;SIX6,1stExon;5'UTR,hg19,AGE,1
cg07060233,chr20,44687092,Island,SLC12A5;SLC12A5,3'UTR;3'UTR,hg19,AGE,1
cg26299944,chr1,10929814,OpenSea,,,hg19,AGE,-1
cg01521987,chr20,26188976,Island,MIR663,TSS200,hg19,AGE,1
cg14669729,chr22,25679222,Island,,,hg19,AGE,1
cg03104428,chr1,102462043,OpenSea,OLFM3,Body,hg19,AGE,1
cg13899108,chr19,18344322,S_Shore,PDE4C,5'UTR,hg19,AGE,1
cg19912142,chr10,119494671,Island,,,hg19,AGE,1
cg03512426,chr10,131763683,Island,,,hg19,AGE,1
cg02455094,chr18,55104078,Island,ONECUT2,1stExon,hg19,AGE,1
cg04878152,chr3,148415960,S_Shore,AGTR1;AGTR1;AGTR1;AGTR1,5'UTR;5'UTR;5'UTR;5'UTR,hg19,AGE,1
cg09283154,chr6,118229641,Island,SLC35F1,Body,hg19,AGE,1
cg05518567,chr5,160976210,S_Shore,GABRB2;GABRB2,TSS1500;TSS1500,hg19,AGE,1
cg26173319,chr5,72742824,S_Shelf,FOXD1,1stExon,hg19,AGE,1
cg00831710,chr8,144240945,Island,LY6H;LY6H;LY6H,Body;Body;Body,hg19,AGE,1
cg23708361,chr7,145813432,Island,CNTNAP2,TSS200,hg19,AGE,1
cg14055896,chr19,54481859,Island,CACNG8,Body,hg19,AGE,1
cg08475096,chr4,158143750,Island,GRIA2;GRIA2;GRIA2,Body;Body;Body,hg19,AGE,1
cg12122146,chr12,130388216,Island,TMEM132D,TSS200,hg19,AGE,1
cg15149655,chr2,98703698,Island,VWA3B;VWA3B,1stExon;5'UTR,hg19,AGE,1
cg03876032,chr10,26501065,Island,MYO3A,3'UTR,hg19,AGE,1
cg19678828,chr21,27945413,Island,CYYR1;CYYR1,5'UTR;1stExon,hg19,AGE,1
cg26048493,chr1,6354272,OpenSea,ACOT7;ACOT7;ACOT7;ACOT7,Body;Body;Body;Body,hg19,AGE,-1
cg24713204,chr19,57019373,Island,ZNF471,5'UTR,hg19,AGE,1
cg19230755,chr7,65878503,Island,,,hg19,AGE,1
cg23397578,chr19,37742925,Island,,,hg19,AGE,1
cg02699218,chr5,132150128,Island,ANKRD43,1stExon,hg19,AGE,1
cg22063369,chr2,101504017,OpenSea,NPAS2,5'UTR,hg19,AGE,-1
cg04961101,chr20,37303484,S_Shore,,,hg19,AGE,1
cg10185890,chr16,2235463,N_Shore,CASKIN1,Body,hg19,AGE,-1
cg03356900,chr4,122302276,Island,QRFPR,TSS200,hg19,AGE,1
cg00976181,chr1,865860,N_Shelf,SAMD11,Body,hg19,AGE,-1
cg06622151,chr2,45168246,N_Shore,SIX3,TSS1500,hg19,AGE,1
cg06857093,chr15,75660047,N_Shore,MAN2C1;MAN2C1;MAN2C1;MAN2C1,Body;Body;Body;Body,hg19,AGE,-1
cg06850660,chr12,53902829,OpenSea,NPFF,TSS1500,hg19,AGE,-1
cg22627753,chr1,988623,N_Shore,AGRN,Body,hg19,AGE,-1
cg26982279,chr19,57079381,S_Shore,ZNF470;ZNF470,1stExon;5'UTR,hg19,AGE,1
cg04100532,chr2,210636560,Island,UNC80;UNC80,TSS200;TSS200,hg19,AGE,1
cg07178006,chr11,20184718,Island,,,hg19,AGE,1
cg21924449,chr15,33011441,Island,GREM1,5'UTR,hg19,AGE,1
cg01082843,chr2,210636844,Island,UNC80;UNC80,1stExon;1stExon,hg19,AGE,1
cg01314301,chr9,98315718,S_Shore,,,hg19,AGE,1
cg12161971,chr11,77907332,Island,USP35,Body,hg19,AGE,1
cg26963356,chr6,55443833,Island,HMGCLL1;HMGCLL1,1stExon;1stExon,hg19,AGE,1
cg08313406,chr19,42415303,N_Shore,,,hg19,AGE,-1
cg07351143,chr10,22623910,Island,,,hg19,AGE,1
cg23424933,chr2,45157613,S_Shore,,,hg19,AGE,1
cg22111038,chr5,57879168,Island,RAB3C,Body,hg19,AGE,1
cg14269716,chr19,14016603,N_Shore,C19orf57;CC2D1A,5'UTR;TSS1500,hg19,AGE,1
cg07028914,chr6,85474090,Island,TBX18,TSS200,hg19,AGE,1
cg20470857,chr2,119915783,Island,C1QL2,1stExon,hg19,AGE,1
cg12767903,chr3,114027886,OpenSea,TIGIT,3'UTR,hg19,AGE,-1
cg06558502,chr19,57610699,Island,,,hg19,AGE,1
cg11008639,chr22,20275487,OpenSea,,,hg19,AGE,-1
cg18063312,chr5,72740737,Island,,,hg19,AGE,1
cg08323651,chr7,136553855,Island,CHRM2;CHRM2;CHRM2;CHRM2;CHRM2;CHRM2;CHRM2;CHRM2;CHRM2;CHRM2;CHRM2,5'UTR;5'UTR;5'UTR;5'UTR;TSS200;1stExon;1stExon;1stExon;TSS200;5'UTR;TSS200,hg19,AGE,1
cg09260089,chr10,134599860,Island,NKX6-2,TSS1500,hg19,AGE,1
cg25829425,chr6,6004897,Island,NRN1,Body,hg19,AGE,1
cg14227486,chr4,41867415,Island,,,hg19,AGE,1
cg27209661,chr14,100039342,OpenSea,CCDC85C,Body,hg19,AGE,-1
cg16823838,chr6,146348853,N_Shore,GRM1;GRM1;GRM1;GRM1,TSS200;TSS1500;TSS1500;TSS1500,hg19,AGE,1
cg03625109,chr9,122132103,Island,DBC1,TSS1500,hg19,AGE,1
cg22374237,chr7,126891197,N_Shore,GRM8,5'UTR,hg19,AGE,1
cg06410537,chr5,170736572,Island,TLX3,1stExon,hg19,AGE,1
cg04846036,chr10,8079205,S_Shore,,,hg19,AGE,1
cg03200166,chr11,61335254,Island,SYT7,Body,hg19,AGE,1
cg17632372,chr7,1280236,Island,,,hg19,AGE,1
cg18500733,chr22,33454564,S_Shore,SYN3,TSS200,hg19,AGE,1
cg06713488,chr15,79725481,Island,KIAA1024,5'UTR,hg19,AGE,1
cg12163132,chr17,59475917,Island,TBX2,TSS1500,hg19,AGE,1
cg27034466,chr8,11760342,S_Shore,,,hg19,AGE,-1
cg00008036,chr1,179712091,Island,FAM163A,TSS1500,hg19,AGE,1
cg08557795,chr8,91095265,OpenSea,CALB1,TSS200,hg19,AGE,1
cg22766145,chr8,65492528,N_Shore,BHLHE22,TSS1500,hg19,AGE,1
cg20661138,chr8,145925314,N_Shore,,,hg19,AGE,1
cg12877723,chr8,57358312,Island,PENK;PENK,Body;Body,hg19,AGE,1
cg19168659,chr2,229046447,Island,SPHKAP;SPHKAP,TSS200;TSS200,hg19,AGE,1
cg02400433,chr6,100054987,Island,PRDM13,1stExon,hg19,AGE,1
cg24694018,chr1,145457621,OpenSea,POLR3GL,Body,hg19,AGE,-1
cg08390865,chr6,110299446,Island,GPR6;GPR6,TSS200;TSS200,hg19,AGE,1
cg24412058,chr19,16370609,OpenSea,,,hg19,AGE,-1
cg10034096,chr6,72892300,Island,RIMS1,Body,hg19,AGE,1
cg08368617,chr6,134217040,Island,,,hg19,AGE,1
cg25051341,chr6,100061307,Island,PRDM13,Body,hg19,AGE,1
cg17734803,chr1,63789404,Island,FOXD3-AS1;FOXD3-AS1;FOXD3-AS1;FOXD3;FOXD3-AS1,Body;TSS1500;TSS1500;1stExon;TSS200,hg19,AGE,1
cg18969232,chr2,45156937,Island,,,hg19,AGE,1
cg16077599,chr1,221067782,Island,,,hg19,AGE,1
cg13398472,chr10,97889650,Island,ZNF518A;ZNF518A;ZNF518A;ZNF518A;ZNF518A;ZNF518A;ZNF518A,1stExon;1stExon;1stExon;TSS200;5'UTR;5'UTR;5'UTR,hg19,AGE,1
cg07068870,chr8,109094331,N_Shore,RSPO2,Body,hg19,AGE,1
cg06739520,chr20,5891968,Island,CHGB,TSS200,hg19,AGE,1
cg14855519,chr8,25898191,N_Shore,EBF2,Body,hg19,AGE,1
cg00481951,chr3,187387650,N_Shore,SST,Body,hg19,AGE,1
cg07811198,chr7,153585368,Island,DPP6,Body,hg19,AGE,1
cg09399937,chr3,6902843,Island,GRM7;GRM7;GRM7;GRM7,5'UTR;5'UTR;1stExon;1stExon,hg19,AGE,1
cg23409325,chr16,11296711,OpenSea,,,hg19,AGE,-1
cg24469980,chr1,221064953,Island,,,hg19,AGE,1
cg05581313,chr16,67261905,S_Shore,LRRC29;LRRC29;TMEM208,TSS1500;TSS1500;Body,hg19,AGE,-1
cg06496344,chr19,23253834,Island,,,hg19,AGE,1
cg04059568,chr7,157486012,Island,PTPRN2;PTPRN2;PTPRN2,Body;Body;Body,hg19,AGE,1
cg12945120,chr2,80531890,S_Shore,CTNNA2;LRRTM1;CTNNA2;CTNNA2;CTNNA2;CTNNA2,TSS1500;TSS1500;Body;Body;Body;Body,hg19,AGE,1
cg12562422,chr21,43025218,OpenSea,,,hg19,AGE,-1
cg20219381,chr8,101118083,Island,RGS22,Body,hg19,AGE,1
cg06829968,chr15,53076235,Island,ONECUT1,Body,hg19,AGE,1
cg20665626,chr14,24041119,N_Shelf,JPH4;JPH4;JPH4;JPH4,Body;Body;ExonBnd;ExonBnd,hg19,AGE,-1
cg25537245,chr17,56413890,OpenSea,,,hg19,AGE,-1
cg13460168,chr1,16501540,OpenSea,,,hg19,AGE,-1
cg04261138,chr5,87968636,Island,LOC645323;LOC645323;LOC645323,Body;Body;Body,hg19,AGE,1
cg08165221,chr2,5833017,Island,SOX11,1stExon,hg19,AGE,1
cg05803237,chr11,92702628,N_Shore,MTNR1B,TSS200,hg19,AGE,1
cg23563234,chr5,140797286,Island,PCDHGA4;PCDHGA9;PCDHGA1;PCDHGB1;PCDHGB7;PCDHGB6;PCDHGB7;PCDHGB3;PCDHGA6;PCDHGA8;PCDHGA10;PCDHGB7;PCDHGA5;PCDHGB4;PCDHGB7;PCDHGA3;PCDHGA2;PCDHGB2;PCDHGA7;PCDHGB5,Body;Body;Body;Body;1stExon;Body;5'UTR;Body;Body;Body;Body;5'UTR;Body;Body;1stExon;Body;Body;Body;Body;Body,hg19,AGE,1
cg02446647,chr6,133562101,Island,EYA4;EYA4;EYA4,TSS1500;TSS1500;TSS1500,hg19,AGE,1
cg05043908,chr13,28543522,Island,CDX2,TSS200,hg19,AGE,1
cg16081403,chr18,59220555,N_Shore,CDH20,Body,hg19,AGE,-1
cg00654296,chr17,7230819,N_Shore,NEURL4;NEURL4,Body;Body,hg19,AGE,-1
cg04273661,chr19,18896581,Island,COMP,Body,hg19,AGE,1
cg13343818,chr2,172951966,Island,DLX1;DLX1,Body;Body,hg19,AGE,1
cg08768421,chr9,74764504,Island,GDA,1stExon,hg19,AGE,1
cg06399407,chr2,9893425,OpenSea,,,hg19,AGE,-1
cg03259243,chr17,21356007,Island,,,hg19,AGE,1
cg07665387,chr4,134069388,Island,PCDH10;PCDH10,TSS1500;TSS1500,hg19,AGE,1
cg16952286,chr6,28602894,Island,,,hg19,AGE,1
cg27487435,chr5,140797199,Island,PCDHGB7;PCDHGB7;PCDHGA8;PCDHGB5;PCDHGA9;PCDHGB6;PCDHGA10;PCDHGA1;PCDHGA2;PCDHGA3;PCDHGB1;PCDHGA4;PCDHGB2;PCDHGA5;PCDHGB3;PCDHGA6;PCDHGA7;PCDHGB4,TSS200;TSS200;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body,hg19,AGE,1
cg11160054,chr8,72460431,Island,,,hg19,AGE,1
cg15685693,chr7,70597351,Island,WBSCR17,TSS200,hg19,AGE,1
cg03145999,chr19,58629828,Island,ZSCAN18;ZSCAN18,TSS200;TSS200,hg19,AGE,1
cg23485738,chr6,31936192,N_Shelf,SKIV2L,Body,hg19,AGE,-1
cg06057566,chr13,78493561,S_Shore,EDNRB;EDNRB;EDNRB,TSS1500;5'UTR;TSS1500,hg19,AGE,1
cg20442599,chr6,108479500,Island,,,hg19,AGE,1
cg01850331,chr15,67383558,OpenSea,SMAD3,Body,hg19,AGE,-1
cg02388865,chr1,26737318,Island,LIN28;LIN28,1stExon;5'UTR,hg19,AGE,1
cg16240162,chr3,147106890,N_Shore,ZIC4;ZIC4;ZIC4;ZIC4;ZIC4,Body;Body;Body;Body;Body,hg19,AGE,1
cg11718030,chr11,27744363,Island,BDNF,TSS1500,hg19,AGE,1
cg08263708,chr6,85476373,S_Shelf,,,hg19,AGE,1
cg25397973,chr6,5996562,N_Shore,,,hg19,AGE,1
cg18815943,chr1,47882314,Island,FOXE3,1stExon,hg19,AGE,1
cg03359362,chr19,47289611,N_Shore,SLC1A5;SLC1A5;SLC1A5,TSS1500;Body;5'UTR,hg19,AGE,-1
cg15490715,chr6,29521568,Island,,,hg19,AGE,1
cg07436562,chr17,73750299,S_Shore,ITGB4;ITGB4;ITGB4,Body;Body;Body,hg19,AGE,-1
cg13471831,chr22,34268251,OpenSea,LARGE;LARGE,5'UTR;5'UTR,hg19,AGE,-1
cg22452230,chr15,69754698,OpenSea,,,hg19,AGE,-1
cg14620572,chr9,127215669,Island,GPR144,Body,hg19,AGE,1
cg06675478,chr13,112721786,Island,SOX1,TSS200,hg19,AGE,1
cg06953773,chr5,150326497,S_Shore,LOC134466,TSS1500,hg19,AGE,1
cg08638184,chr7,19183563,N_Shore,,,hg19,AGE,1
cg05923914,chr11,45792610,OpenSea,DKFZp779M0652,TSS1500,hg19,AGE,-1
cg02352240,chr16,51188372,Island,,,hg19,AGE,1
cg17437939,chr7,97361252,Island,TAC1;TAC1;TAC1;TAC1,TSS200;TSS200;TSS200;TSS200,hg19,AGE,1
cg05710628,chr11,69633974,Island,FGF3;FGF3,1stExon;5'UTR,hg19,AGE,1
cg06533314,chr1,91176810,S_Shore,,,hg19,AGE,1
cg20846213,chr10,125425707,Island,GPR26,TSS200,hg19,AGE,1
cg02926165,chr5,3595963,Island,IRX1,TSS1500,hg19,AGE,1
cg10214421,chr7,155174508,Island,,,hg19,AGE,1
cg24840922,chr6,96463299,N_Shore,FUT9,TSS1500,hg19,AGE,1
cg23967169,chr3,68981503,Island,FAM19A4;FAM19A4;FAM19A4;FAM19A4,1stExon;5'UTR;5'UTR;1stExon,hg19,AGE,1
cg07936950,chr2,172953134,Island,DLX1;DLX1,3'UTR;3'UTR,hg19,AGE,1
cg10595547,chr10,119310911,N_Shore,,,hg19,AGE,1
cg14717557,chr6,100895618,N_Shore,SIM1,Body,hg19,AGE,1
cg10425861,chr15,60286540,N_Shore,,,hg19,AGE,1
cg09848096,chr10,118928012,Island,,,hg19,AGE,1
cg23524630,chr7,157076538,S_Shelf,,,hg19,AGE,-1
cg07197948,chr12,96131706,OpenSea,NTN4,Body,hg19,AGE,-1
cg07329360,chr11,31841768,Island,,,hg19,AGE,1
cg14896488,chr11,73675016,OpenSea,DNAJB13,Body,hg19,AGE,-1
cg13870866,chr7,35293130,Island,TBX20;TBX20,1stExon;1stExon,hg19,AGE,1
cg15710198,chr8,55370334,Island,SOX17,TSS200,hg19,AGE,1
cg11437253,chr3,147077186,Island,,,hg19,AGE,1
cg04561261,chr16,82104638,OpenSea,HSD17B2,Body,hg19,AGE,-1
cg27424244,chr19,2360282,Island,,,hg19,AGE,1
cg00983956,chr19,58220669,S_Shore,ZNF154;ZNF154;ZNF154,TSS200;TSS200;TSS200,hg19,AGE,1
cg21922574,chr18,70535925,Island,NETO1,TSS1500,hg19,AGE,1
cg18587063,chr11,122940457,OpenSea,,,hg19,AGE,-1
cg09524907,chr8,56014406,Island,XKR4,TSS1500,hg19,AGE,1
cg18187581,chr7,121955310,N_Shore,,,hg19,AGE,1
cg15920743,chr10,102984393,Island,,,hg19,AGE,1
cg26001902,chr2,108602979,Island,SLC5A7,TSS200,hg19,AGE,1
cg05083128,chr4,10077759,N_Shore,WDR1;WDR1,Body;Body,hg19,AGE,-1
cg21497056,chr7,70597354,Island,WBSCR17,TSS200,hg19,AGE,1
cg11905007,chr3,62861071,Island,CADPS;CADPS;CADPS,TSS200;TSS200;TSS200,hg19,AGE,1
cg00157572,chr14,60977961,Island,SIX6,Body,hg19,AGE,1
cg17504999,chr4,134072723,Island,PCDH10;PCDH10,1stExon;1stExon,hg19,AGE,1
cg02315732,chr11,61732658,N_Shelf,FTH1,Body,hg19,AGE,-1
cg17842066,chr12,7125201,N_Shore,LPCAT3,Body,hg19,AGE,-1
cg17761815,chr6,137322929,OpenSea,IL20RA,Body,hg19,AGE,1
cg13346235,chr9,37040786,S_Shelf,,,hg19,AGE,1
cg03048432,chr14,51290751,OpenSea,NIN;NIN;NIN;NIN,5'UTR;5'UTR;TSS1500;5'UTR,hg19,AGE,-1
cg01011128,chr2,224858024,OpenSea,SERPINE2;SERPINE2;SERPINE2;SERPINE2,Body;Body;Body;Body,hg19,AGE,-1
cg11089403,chr1,153518867,OpenSea,LOC101928034;S100A4;S100A4,Body;TSS1500;TSS1500,hg19,AGE,-1
cg18049776,chr13,28543531,Island,CDX2,TSS200,hg19,AGE,1
cg04627996,chr22,30683488,N_Shore,GATSL3,Body,hg19,AGE,-1
cg19849428,chr11,40314978,OpenSea,LRRC4C;LRRC4C,5'UTR;1stExon,hg19,AGE,1
cg20963227,chr4,41868203,N_Shore,,,hg19,AGE,1
cg10132588,chr2,163695190,OpenSea,KCNH7;KCNH7;KCNH7;KCNH7,1stExon;5'UTR;1stExon;5'UTR,hg19,AGE,1
cg09287629,chr2,203036208,Island,,,hg19,AGE,1
cg18799217,chr5,87985589,Island,,,hg19,AGE,1
cg07382454,chr19,19383976,Island,TM6SF2,1stExon,hg19,AGE,1
cg16424078,chr6,1384705,Island,,,hg19,AGE,1
cg13640414,chr19,15530870,S_Shore,AKAP8L,TSS1500,hg19,AGE,-1
cg21636683,chr5,140683699,Island,SLC25A2,TSS200,hg19,AGE,1
cg02342594,chr9,124976596,Island,LHX6;LHX6,Body;Body,hg19,AGE,1
cg25107254,chr4,187476455,Island,MTNR1A,1stExon,hg19,AGE,1
cg05195288,chr3,65582834,OpenSea,MAGI1;MAGI1;MAGI1,Body;Body;Body,hg19,AGE,1
cg05875410,chr16,51187572,Island,,,hg19,AGE,1
cg01429360,chr7,23509546,Island,IGF2BP3,Body,hg19,AGE,1
cg13667638,chr2,5831147,N_Shore,,,hg19,AGE,1
cg00673365,chr12,113906437,Island,LHX5,Body,hg19,AGE,1
cg20384795,chr19,1025441,N_Shore,CNN2;CNN2;CNN2;CNN2,TSS1500;TSS1500;TSS1500;TSS1500,hg19,AGE,-1
cg11438428,chr10,23481594,Island,PTF1A,1stExon,hg19,AGE,1
cg09123155,chr16,1127792,N_Shore,SSTR5;LOC146336,TSS1500;Body,hg19,AGE,-1
cg16284437,chr18,76751616,N_Shore,SALL3,Body,hg19,AGE,1
cg02824386,chr12,114882603,S_Shore,,,hg19,AGE,1
cg14744898,chr5,72415900,Island,TMEM171;TMEM171,TSS1500;TSS1500,hg19,AGE,1
cg26755141,chr6,100903839,N_Shore,SIM1,Body,hg19,AGE,1
cg07912789,chr12,3600273,Island,PRMT8,TSS200,hg19,AGE,1
cg02656891,chr1,34642519,Island,C1orf94;C1orf94,5'UTR;TSS200,hg19,AGE,1
cg17379828,chr19,55998732,N_Shore,NAT14;SSC5D,3'UTR;TSS1500,hg19,AGE,-1
cg03810428,chr12,103218441,Island,,,hg19,AGE,1
cg03565659,chr12,72332624,OpenSea,TPH2,TSS200,hg19,AGE,1
cg17179314,chr15,78933820,Island,CHRNB4,TSS1500,hg19,AGE,1
cg04037038,chr2,183732062,Island,FRZB,TSS1500,hg19,AGE,1
cg01458605,chr3,147128679,Island,ZIC1,1stExon,hg19,AGE,1
cg02778613,chr1,156890613,Island,LRRC71,1stExon,hg19,AGE,1
cg00379720,chr19,23185968,Island,,,hg19,AGE,1
cg19813025,chr5,5139643,Island,ADAMTS16,TSS1500,hg19,AGE,1
cg05380982,chr21,39288378,Island,KCNJ6;KCNJ6,1stExon;5'UTR,hg19,AGE,1
cg14537713,chr6,27258466,N_Shore,,,hg19,AGE,1
cg05329692,chr10,102891280,Island,TLX1NB;TLX1;TLX1,TSS1500;5'UTR;1stExon,hg19,AGE,1
cg26924646,chr11,47026076,OpenSea,C11orf49;C11orf49;C11orf49;C11orf49;C11orf49;C11orf49;C11orf49,Body;Body;Body;Body;Body;Body;Body,hg19,AGE,-1
cg00619126,chr2,105459775,Island,,,hg19,AGE,1
cg12242086,chr7,155252796,S_Shore,EN2,Body,hg19,AGE,1
cg26206396,chr14,29234904,Island,FOXG1,TSS1500,hg19,AGE,1
cg20092531,chr18,54789058,Island,,,hg19,AGE,1
cg20975835,chr11,64107374,N_Shelf,CCDC88B,TSS1500,hg19,AGE,-1
cg01958456,chr16,89669478,OpenSea,,,hg19,AGE,-1
cg25549459,chr2,105471252,Island,POU3F3,TSS1500,hg19,AGE,1
cg05742314,chr15,93339366,OpenSea,ASB9P1,Body,hg19,AGE,-1
cg18016194,chr8,85097157,Island,RALYL;RALYL;RALYL;RALYL;RALYL,5'UTR;5'UTR;1stExon;5'UTR;5'UTR,hg19,AGE,1
cg06247837,chr17,37820135,N_Shelf,TCAP;STARD3;STARD3;STARD3,TSS1500;3'UTR;3'UTR;3'UTR,hg19,AGE,-1
cg19759478,chr1,112291876,OpenSea,C1orf183,Body,hg19,AGE,1
cg03433986,chr11,62477624,S_Shore,BSCL2,TSS1500,hg19,AGE,-1
cg22824998,chr19,46974972,Island,PNMAL1;PNMAL1,TSS200;TSS200,hg19,AGE,1
cg27642784,chr3,157813670,N_Shore,,,hg19,AGE,1
cg26352615,chr5,111482162,OpenSea,,,hg19,AGE,-1
cg10374813,chr17,38183790,OpenSea,MED24;MED24;SNORD124,Body;Body;TSS200,hg19,AGE,-1
cg16786102,chr4,41867462,Island,,,hg19,AGE,1
cg13481132,chr9,138606811,Island,KCNT1,Body,hg19,AGE,1
cg06897548,chr22,39810706,OpenSea,TAB1;TAB1,Body;Body,hg19,AGE,1
cg25092838,chr14,57279115,Island,OTX2OS1,TSS1500,hg19,AGE,1
cg22382953,chr2,47797578,Island,KCNK12,TSS200,hg19,AGE,1
cg17368562,chr7,35298642,S_Shore,,,hg19,AGE,1
cg10566778,chr19,57183241,Island,ZNF835,TSS200,hg19,AGE,1
cg19611809,chr15,53080209,N_Shore,ONECUT1,Body,hg19,AGE,1
cg23747244,chr3,169538984,OpenSea,LRRIQ4,TSS1500,hg19,AGE,-1
cg06675248,chr17,5019611,S_Shore,ZNF232;USP6,5'UTR;TSS200,hg19,AGE,1
cg23546474,chr2,223163033,Island,PAX3;PAX3;PAX3;CCDC140;CCDC140;PAX3;PAX3;PAX3;PAX3;PAX3,Body;Body;Body;5'UTR;1stExon;Body;Body;Body;Body;Body,hg19,AGE,1
cg26821745,chr2,177023183,N_Shore,,,hg19,AGE,1
cg12587260,chr14,73703163,N_Shore,PAPLN,TSS1500,hg19,AGE,1
cg26923490,chr19,49575475,Island,KCNA7,1stExon,hg19,AGE,1
cg18645295,chr9,124463940,S_Shore,DAB2IP,Body,hg19,AGE,-1
cg04740205,chr11,82871065,S_Shelf,PCF11,Body,hg19,AGE,-1
cg10746542,chr14,38678924,Island,SSTR1,Body,hg19,AGE,1
cg24872016,chr15,45750762,OpenSea,,,hg19,AGE,-1
cg21531089,chr1,24718669,OpenSea,STPG1;STPG1;STPG1;STPG1,Body;Body;Body;5'UTR,hg19,AGE,-1
cg11065253,chr12,123278517,OpenSea,CCDC62;CCDC62,Body;Body,hg19,AGE,-1
cg27289462,chr14,94405768,Island,ASB2;ASB2,Body;Body,hg19,AGE,1
cg24453699,chr1,91190891,Island,,,hg19,AGE,1
cg06664900,chr16,2073792,N_Shelf,,,hg19,AGE,-1
cg12754421,chr11,105480790,N_Shore,GRIA4;GRIA4;GRIA4;GRIA4,TSS200;TSS200;TSS200;TSS1500,hg19,AGE,1
cg22848598,chr8,38965026,Island,ADAM32,TSS200,hg19,AGE,1
cg07037371,chr4,112709384,OpenSea,,,hg19,AGE,1
cg07055616,chr10,134600600,Island,NKX6-2,TSS1500,hg19,AGE,1
cg21154627,chr3,170303190,Island,SLC7A14,5'UTR,hg19,AGE,1
cg23680086,chr5,140787629,Island,PCDHGA8;PCDHGB5;PCDHGA9;PCDHGB6;PCDHGB6;PCDHGA1;PCDHGA2;PCDHGA3;PCDHGB1;PCDHGA4;PCDHGB2;PCDHGA5;PCDHGB3;PCDHGA6;PCDHGA7;PCDHGB4,Body;Body;Body;TSS200;TSS200;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body;Body,hg19,AGE,1
cg10991681,chr20,30865005,N_Shore,KIF3B,TSS1500,hg19,AGE,-1
cg10603004,chr8,23564294,Island,NKX2-6,TSS1500,hg19,AGE,1
cg25313204,chr6,160768801,Island,SLC22A3,TSS1500,hg19,AGE,1
cg20907051,chr1,47999516,Island,,,hg19,AGE,1
cg12935170,chr7,23508189,Island,IGF2BP3,Body,hg19,AGE,1
cg14603886,chr17,62206650,N_Shore,ERN1,Body,hg19,AGE,-1
cg19288904,chr15,98836248,OpenSea,,,hg19,AGE,1
cg17233763,chr8,85095525,N_Shore,RALYL;RALYL;RALYL;RALYL;RALYL;RALYL,TSS200;TSS200;1stExon;1stExon;5'UTR;5'UTR,hg19,AGE,1
cg06444755,chr7,8473990,Island,NXPH1;NXPH1,1stExon;5'UTR,hg19,AGE,1
cg13834623,chr6,25652407,Island,SCGN,TSS200,hg19,AGE,1
cg07050626,chr11,1715850,Island,HCCA2,Body,hg19,AGE,-1
cg09062550,chr20,20350481,Island,INSM1;INSM1,1stExon;3'UTR,hg19,AGE,1
cg20874718,chr15,29862801,Island,FAM189A1,1stExon,hg19,AGE,1
cg04372882,chr1,63788554,Island,FOXD3-AS1;FOXD3-AS1;FOXD3-AS1;FOXD3-AS1;FOXD3,Body;Body;TSS1500;TSS1500;TSS200,hg19,AGE,1
cg16638540,chr19,58570468,Island,ZNF135;ZNF135;ZNF135;ZNF135;ZNF135,TSS200;TSS200;TSS200;TSS200;TSS200,hg19,AGE,1
cg24690709,chr4,100768712,OpenSea,DAPP1,Body,hg19,AGE,-1
